"Story","Title","Result","Date","Stability","Duration (s)"
"Store assertion test","Verify the if the stores of limit is equal to 10","SUCCESS","2023-06-08T20:37:55.264+01:00[Europe/London]","0.0","0.04"
"Store assertion test","Check the single ‘Name’ in the Array list (Inver Grove Heights)","SUCCESS","2023-06-08T20:37:55.313+01:00[Europe/London]","0.0","0.12"
"Store assertion test","Check the multiple ‘Names’ in the ArrayList (Roseville, Burnsville, Maplewood)","SUCCESS","2023-06-08T20:37:55.436+01:00[Europe/London]","0.0","0.04"
"Store assertion test","Verify the storied=7 inside storeservices of the third store of second services","SUCCESS","2023-06-08T20:37:55.474+01:00[Europe/London]","0.0","0.03"
"Store assertion test","Check hash map values ‘createdAt’ inside storeservices map where store name = Roseville","SUCCESS","2023-06-08T20:37:55.504+01:00[Europe/London]","0.0","0.08"
"Store assertion test","Verify the state = MN of forth store","SUCCESS","2023-06-08T20:37:55.595+01:00[Europe/London]","0.0","0.04"
"Store assertion test","Verify the store name = Rochester of 9th store","SUCCESS","2023-06-08T20:37:55.640+01:00[Europe/London]","0.0","0.03"
"Store assertion test","Verify the storeId = 11 for the 6th store","SUCCESS","2023-06-08T20:37:55.680+01:00[Europe/London]","0.0","0.04"
"Store assertion test","Verify the serviceId = 4 for the 7th store of forth service","SUCCESS","2023-06-08T20:37:55.723+01:00[Europe/London]","0.0","0.03"
